symbol,episode_id,created_utc,lower,upper,width_pct,rotations,recorded_trades_while_active,recorded_depth_while_active,future_bars_available_of_30,future_high,future_low,above_upper_seen,below_lower_seen,confirmed_candidate
LSKUSDT,EP_a99f09b70f84ecec8f247c4f,2026-09-20T12:06:39.182000+00:00,0.36804,0.37369,1.5234654119423627,5,0,0,30,0.37813,0.37238,True,False,False
COTIUSDT,EP_249a37ecbdb9f3ef55bd25a3,2026-09-20T12:06:39.540000+00:00,0.017649,0.017819,0.9586105785496787,4,0,0,30,0.017756,0.0174,False,True,False
ARUSDT,EP_cf2207d9216889b13b265c82,2026-09-20T12:06:45.376000+00:00,4.274,4.347,1.6935390325948356,4,0,0,30,4.345,4.258,False,True,False
牛来USDT,EP_8510cf1216fd24dc8b0a903b,2026-09-20T12:06:46.985000+00:00,0.10095,0.1029,1.9131714495952978,4,0,0,30,0.10254,0.10035,False,True,False
CHIPUSDT,EP_b48939af00905adf99a42f22,2026-09-20T12:06:47.483000+00:00,0.04087,0.04118,0.7556368068251181,4,39,45,16,0.04119,0.04082,True,True,False
AKEUSDT,EP_11d201c2090169e21ec64798,2026-09-20T12:09:15.218000+00:00,0.045326,0.054242,17.90936847179817,4,8141,138,30,0.052728,0.0462,False,False,False
CELRUSDT,EP_cb71636e177350a3f1b26a71,2026-09-20T12:10:20.894000+00:00,0.003901,0.004065,4.117499372332414,4,499,106,30,0.004236,0.00396,True,False,False
FUSDT,EP_d7de46a424836b4ee6a863f7,2026-09-20T12:17:38.693000+00:00,0.003608,0.003635,0.7455474251000997,4,0,0,30,0.003637,0.003596,True,True,False
XMRUSDT,EP_0a789af31cc268949bb84ce9,2026-09-20T12:21:57.717000+00:00,523.07,526.16,0.5890033643719524,4,0,0,30,533.63,526.38,True,False,False
SUSDT,EP_a5030435c47e3e0673412406,2026-09-20T12:23:29.053000+00:00,0.03533,0.03599,1.8508132361189034,4,0,0,30,0.03584,0.03501,False,True,False
MUSDT,EP_f75b512cac0007a9e3e44998,2026-09-20T12:47:40.672000+00:00,1.495,1.5513,3.696287299346735,4,0,0,30,1.5613,1.5086,True,False,False
